Site #,Site Id,Ward,Date,Start,Finish,Team,Fixed,Width 1,Width 2,Width 3,Street,St. Type,Lanes,Divided,Area,Grass Ht.(Inches),FastFood,ConvStore,MobileFood,"Bench or
Resting
Structure",Bus Stop,"Traffic
Light/
Stop sign",Litter Bin,"Large
Litter
Count","Small
Litter
Count",Catch Pt,LitterIndex,Cleanup,Details,Street,Coordinates,"Updated
Coordinates from
Previous Survey",Comments,2012_large,2012_small,2012_total
279,506,9,21-Sep-16,11:14 AM,11:30 AM,C,Var,16.5,16.5,16.5,Victory,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,8,4,"Fence-Curb-
Grass Line",1,N,,Drive,"N:43.727875
W:79.48678",,,8,4,12
280,507,13,20-Sep-16,8:56 AM,9:11 AM,C,Fixed,18,18,18,Humberview,Minor,1,N,Res-Park,"3 to 6, over 6",N,N,N,Y,N,N,Y,2,2,Grass-Shrubs,1,N,2 sets of park carts,Road,"N:43.653491
W:79.489788",,,1,0,1
281,508,41,21-Sep-16,3:16 PM,3:28 PM,A,Var,17,17,17,Mollard,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,23,13,"Curb-Grass
Line",2,N,,Road,"N:43.79853
W:79.27557",*,,3,7,10
282,509,17,20-Sep-16,1:50 PM,2:10 PM,C,Var,10.5,7.5,7,Algarve,Minor,2,N,Res-Park,over 6,N,N,N,N,N,N,Y,50.5,6,"Fnece-Curb-
Grass Line",3,N,"1 divided city bin, 2
recycling park carts",Crescent,"N:43.67965
W:79.46625",*,,33,7,40
283,510,32,15-Sep-16,2:37 PM,2:45 PM,A,Var,6.5,7,6.5,Scarborough,Minor,2,N,Res,<3,N,N,N,N,N,Y,N,2,0,"Curb-Grass
Line",1,N,,Road,"N:43.67685
W:79.28556",*,,4,1,5
284,511,21,20-Sep-16,1:41 PM,1:53 PM,B,Var,15,15,15,Heathdale,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,7,1,"Curb-Grass
Line",2,N,,Road,"N:43.689387
W:79.422633",,,6,1,7
285,512,16,19-Sep-16,10:45 AM,10:56 AM,B,Var,6,6,6,Duplex,Minor,2,N,Res,N/A,N,N,N,N,N,y,N,3,2,"Curb-Grass-
Sewer",1,N,,Ave,"N:43.718363
W:79.404221",,,1,0,1
286,513,44,20-Sep-16,11:25 AM,11:37 AM,A,Fixed,18,18,18,Ling,Minor,2,N,Res,<3,N,N,N,Y,Y,Y,N,2,14,Curb-Grass,1,N,,Road,"N:43.76678
W:79.18445",*,Outside apartment building,11,9,20
287,514,22,14-Sep-16,11:30 AM,12:03 PM,A,Var,18,18,15.5,Avenue,Major,6,N,Res,<3,N,N,N,Y,N,Y,N,2,8,Curb-Building,1,N,,Road,"N:43.680351
W:79.398771",,,6,4,10
288,515,7,16-Sep-16,12:08 PM,12:24 PM,A,Fixed,18,18,18,Sheppard W,Major,6,N,Com,over 6,N,N,N,N,Y,Y,N,45,55,"Curb-Grass
Line",3,N,,Ave,"N:43.735869
W:79.530029",,,103,24,127
289,516,40,21-Sep-16,11:07 AM,11:21 AM,A,Fixed,18,18,18,Corinthian,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,10,7,Curb-Grass,2,N,,Blvd,"N:43.79263
W:79.32602",*,"Along fence of apartment
complex on corner.
Construction @ apartment",5,2,7
290,517,6,19-Sep-16,9:46 AM,9:56 AM,C,Var,8.5,11.5,11.5,Murrie,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,0,5,"Hedge-Curb-
Grass Line",1,N,,Street,"N:43.604635
W:79.498672",,"school located across Dwight
from site",10,4,14
291,518,31,15-Sep-16,8:54 AM,9:06 AM,B,Var,6,6,6,Machokie,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,1,1,Curb-Sewer,1,N,,Road,"N:43.68052
W:79.28799",,Construction across street,4,2,6
292,519,3,16-Sep-16,10:50 AM,11:01 AM,C,Fixed,18,18,18,Eringate,Minor,2,N,Res-Park,<3,N,N,N,Y,N,Y,Y,6,1,"Curb-Grass
Line",1,N,"Garbage & recycling
carts in park",Drive,"N:43.66283
W:79.57479",*,"18 ft of grass between sidewalk
and curb. Site alongside a park",3,3,6
293,520,3,16-Sep-16,10:33 AM,10:47 AM,C,Var,14,14,16,The West Mall,Major,4,N,Res,<3,N,N,N,N,Y,Y,Y,6,27,"Curb-Grass
Line",1,N,2 divided city bins,Road,"N:43.639401
W:79.565374",,,9,5,14
294,521,20,13-Sep-16,9:15 AM,9:29 AM,A,Var,7,7,7,Bernard,Minor,2,N,Res,3 to 6,N,N,N,Y,N,Y,N,7,4,"Curb-Grass
Line",2,N,,Ave,"N:43.672889
W:79.401604",,"across Bernard from Apartment
Complex",7,1,8
295,522,21,14-Sep-16,1:55 PM,2:04 PM,A,Var,8,8,8,Davenport,Major,2,N,Res,N/A,N,N,N,Y,Y,Y,N,11,6,"Fence-Curb-
Grass Line",2,N,,Road,"N:43.676534
W:79.414497",,,6,5,11
296,523,13,20-Sep-16,10:56 AM,11:06 AM,C,Var,7,7,7,Watson,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,2,2,"Curb-Barrier
Wall",1,N,,Road,"N:43.66321
W:79.49155",*,,5,1,6
297,524,15,20-Sep-16,12:25 PM,12:45 PM,C,Var,11,11,10,Rogers,Major,4,N,Res-Com,over 6,Y,Y,N,N,Y,Y,N,19,42,"Fence-Curb-
Grass Line",3,N,,Road,"N:43.68222
W:79.46942",,"Found 3 garbage bags rejected
by city",24,28,52
298,525,27,19-Sep-16,10:10 AM,10:13 AM,A,Var,3,3,3,Davidson,Minor,2,N,Res,3 to 6,N,Y,N,N,N,Y,N,3,0,Curb,1,N,,Ave,"N:46.71215
W:79.26073",*,"Site starts in middle of driveway
on 18 Davidson Ave",1,0,1
299,601,21,20-Sep-16,11:42 AM,11:53 AM,C,Var,7,7,8,Foxwell,Minor,2,N,Res,<3,N,N,N,Y,Y,N,Y,3,1,"Curb-Retaining
Wall",1,N,1 divided city bin,Street,"N:43.66997
W:79.49881",*,,#N/A,#N/A,#N/A
300,602,20,12-Sep-16,9:20 AM,10:00 AM,A,Var,16,18,18,Bond St.,Minor,2,N,Com,3 to 6,Y,N,N,Y,N,Y,Y,108.5,65,"Fence-Curb-
Grass Line",4,N,"2 garbage cans across
street, 1 within parking
lot",Street,"N:43.65404
W:79.37737",*,"near a church and hospital with
adjacent parking lot. Abandoned
building within site",#N/A,#N/A,#N/A
