Site #,Site Id,Ward,Date,Start,Finish,Team,Fixed,Width 1,Width 2,Width 3,Street,St. Type,Lanes,Divided,Area,Grass Ht.(Inches),FastFood,ConvStore,MobileFood,"Bench or
Resting
Structure",Bus Stop,"Traffic
Light/
Stop sign",Litter Bin,"Large
Litter
Count","Small
Litter
Count",Catch Pt,LitterIndex,Cleanup,Details,Street,Coordinates,"Updated
Coordinates from
Previous Survey",Comments,2012_large,2012_small,2012_total
40,45,19,14-Sep-16,3:20 PM,3:36 PM,C,Var,7,6.5,6.5,Crawford St.,Minor,2,N,Com-Res,,N,N,N,N,N,,Y,14,6,Curb,3,N,,Street,"N:43.645341
W:79.415732",,1 divided city bin,14,6,20
41,46,19,13-Sep-16,9:01 AM,9:15 AM,A,Var,7,7,7,Stafford St.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,11,7,"Fence-Curb-
Grass Line",2,N,,Street,"N: 43.64375
W:79.41132",*,"two curbs, and residential
fences. Site starts at #57",20,6,26
42,47,19,14-Sep-16,11:00 AM,11:17 AM,C,Var,9,7,7,Mansfield Ave.,Minor,2,N,Com-Res,N/A,Y,N,N,N,N,Y,N,18.5,3,Fence-Curb,2,N,,Ave,N: 43.65339W:79.41368,*,school and park at intersection of Bellwoods ave & Mansfield Ave. Church across street from the park,34,4,38
43,48,19,13-Sep-16,11:25 AM,11:43 AM,C,Var,9,8,8,Euclid Av.,Minor,2,N,Com-Res,3 to 6,N,N,N,N,N,N,Y,1,7,Fence-Hedge-Curb-Grass Line,1,N,,Ave,N: 43.65735W:79.41200,*,one way street. 2 divided city bins,14,2,16
44,49,19,13-Sep-16,12:33 PM,12:47 PM,C,Var,18,7,7,Palmerston Ave.,Minor,2,N,Res-Com,N/A,N,Y,N,N,Y,Y,Y,1,39,Fence-Curb,1,N,,Ave,"N: 43.65584
W:79.41010",*,2 divided city bins,29,2,31
45,50,17,14-Sep-16,2:40 PM,2:55 PM,A,Var,8,7,7,Benson Ave.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,15,4,"Fence-Hedge-
Curb-Grass
Line",1,N,,Ave,"N:43.678212
W:79.432872",,,4,1,5
46,51,17,14-Sep-16,2:15 PM,2:22 PM,A,Var,6,6,6,Alberta Ave.,Minor,2,N,Res,<3,Y,N,N,Y,N,Y,Y,10,4,"Curb-Property
Line",1,Y,"Individual collecting
bottles on street",Ave,"N:43.674865
W:79.431594",,"2 recycle, 1 garbage bin on
corner",18,4,22
47,52,20,13-Sep-16,10:20 AM,10:29 AM,A,Var,18,17,17,Portland St.,Minor,2,N,Com-Res,3 to 6,N,N,N,Y,N,Y,Y,8,26,Curb,1,N,"Large recycle &
garbage bins across
street",Street,"N:43.642606
W:79.399201",,Park across street,10,7,17
48,53,20,13-Sep-16,11:35 AM,11:51 AM,A,Var,8,8,8,Wolseley St.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,29,9,Fence-Curb,2,N,,Street,"N:43.648212
W:79.40232",,,23,2,25
49,54,20,13-Sep-16,11:09 AM,11:18 AM,A,Var,18,8,18,Dennison Ave.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,8,15,Fence-Curb,1,N,,Ave,"N:43.648244
W:79.401169",,,16,22,38
50,55,20,12-Sep-16,4:19 PM,4:27 PM,A,Var,7,6,6,Augusta Ave.,Minor,2,N,Res,3 to 6,Y,N,N,N,N,Y,N,15.5,19,Fence-Curb,3,Y,,Ave,"N: 43.64899
W:79.39992",*,,19,7,26
51,56,20,13-Sep-16,1:55 PM,2:20 PM,A,Var,13,18,18,Napanee Ct.,Lane,1,N,Res,N/A,N,N,N,Y,N,N,N,9.5,16,Curb,1,N,,Crescent,"N:43.650732
W:79.399245",,"location is a laneway to housing
co-op. Sidewalk of apartments,
basketball courts near by",21,3,24
52,57,20,14-Sep-16,2:20 PM,2:40 PM,C,Var,18,17,18,Kensington Ave.,Lane,2,N,Res-Com,N/A,N,N,N,Y,N,Y,N,1,50,Hedge,1,N,,Ave,"N: 43.65327
W:79.40027",*,,9,15,24
